game_num,strategy1,strategy2,points1,points2
262,tickets,random,53,21
263,tickets,random,40,43
264,tickets,random,12,47
265,tickets,random,-152,21
266,tickets,random,70,37
267,tickets,random,-279,45
268,tickets,random,80,15
269,tickets,random,63,40
270,tickets,random,65,25
271,tickets,random,34,24
272,tickets,random,6,27
273,tickets,random,-259,43
274,tickets,random,59,31
275,tickets,random,57,15
276,tickets,random,52,35
277,tickets,random,61,5
278,tickets,random,66,7
279,tickets,random,-113,36
280,tickets,random,90,11
281,tickets,random,28,34
282,tickets,random,59,44
283,tickets,random,97,21
284,tickets,random,28,15
285,tickets,random,26,37
286,tickets,random,-185,20
287,tickets,random,81,19
288,tickets,random,45,-1
289,tickets,random,37,29
290,tickets,random,81,19
291,tickets,random,56,20
292,tickets,random,24,13
293,tickets,random,63,3
294,tickets,random,68,14
295,tickets,random,62,19
296,tickets,random,35,40
297,tickets,random,38,27
298,tickets,random,-109,48
299,tickets,random,-64,26
300,tickets,random,8,33
301,tickets,random,57,12
302,tickets,random,58,20
303,tickets,random,0,29
304,tickets,random,75,-3
305,tickets,random,78,22
306,tickets,random,53,6
307,tickets,random,78,40
308,tickets,random,84,28
309,tickets,random,18,31
310,tickets,random,19,3
311,tickets,random,30,27
312,tickets,random,49,32
313,tickets,random,41,30
314,tickets,random,53,5
315,tickets,random,69,16
316,tickets,random,32,50
317,tickets,random,70,17
318,tickets,random,-4,10
319,tickets,random,63,31
320,tickets,random,51,26
321,tickets,random,59,8
322,tickets,random,43,28
323,tickets,random,46,17
324,tickets,random,42,34
325,tickets,random,65,28
326,tickets,random,8,28
327,tickets,random,25,38
328,tickets,random,69,14
329,tickets,random,44,16
330,tickets,random,72,9
331,tickets,random,63,24
332,tickets,random,57,15
333,tickets,random,27,45
334,tickets,random,8,17
335,tickets,random,80,34
336,tickets,random,-25,33
337,tickets,random,86,11
338,tickets,random,-175,32
339,tickets,random,29,16
340,tickets,random,66,17
341,tickets,random,-42,35
342,tickets,random,53,39
343,tickets,random,77,35
344,tickets,random,58,25
345,tickets,random,75,27
346,tickets,random,58,36
347,tickets,random,41,40
348,tickets,random,-13,9
349,tickets,random,59,24
350,tickets,random,72,11
351,tickets,random,70,11
352,tickets,random,86,6
353,tickets,random,73,4
354,tickets,random,57,23
355,tickets,random,16,31
356,tickets,random,25,18
357,tickets,random,16,28
358,tickets,random,68,23
359,tickets,random,29,43
360,tickets,random,-10,23
361,tickets,random,64,15
362,tickets,random,45,22
363,tickets,random,40,41
364,tickets,random,84,38
365,tickets,random,75,3
366,tickets,random,68,9
367,tickets,random,55,34
368,tickets,random,76,24
369,tickets,random,74,31
370,tickets,random,76,7
371,tickets,random,71,13
372,tickets,random,-8,42
373,tickets,random,59,13
374,tickets,random,78,34
375,tickets,random,54,33
376,tickets,random,49,34
377,tickets,random,62,12
378,tickets,random,44,38
379,tickets,random,57,41
380,tickets,random,73,22
381,tickets,random,43,9
382,tickets,random,75,31
383,tickets,random,68,26
384,tickets,random,30,34
385,tickets,random,77,4
386,tickets,random,59,20
387,tickets,random,-34,30
388,tickets,random,71,22
389,tickets,random,19,16
390,tickets,random,45,14
391,tickets,random,87,32
