game_num,strategy1,strategy2,points1,points2
2,tickets,tickets,60,33
3,tickets,tickets,57,74
4,tickets,tickets,35,78
5,tickets,tickets,62,-22
6,tickets,tickets,62,38
7,tickets,tickets,81,40
8,tickets,tickets,-75,3
9,tickets,tickets,62,62
10,tickets,tickets,22,83
11,tickets,tickets,46,66
12,tickets,tickets,30,47
13,tickets,tickets,45,74
14,tickets,tickets,68,20
15,tickets,tickets,57,60
16,tickets,tickets,60,-47
17,tickets,tickets,52,45
18,tickets,tickets,35,64
19,tickets,tickets,-22,-60
20,tickets,tickets,34,20
21,tickets,tickets,73,35
22,tickets,tickets,88,47
23,tickets,tickets,39,-25
24,tickets,tickets,24,69
0,tickets,tickets,55,27
1,tickets,tickets,-7,-1
2,tickets,tickets,32,-6
3,tickets,tickets,28,-153
4,tickets,tickets,62,46
5,tickets,tickets,28,25
6,tickets,tickets,76,10
7,tickets,tickets,87,10
8,tickets,tickets,54,-263
9,tickets,tickets,55,46
10,tickets,tickets,80,63
11,tickets,tickets,51,0
12,tickets,tickets,58,65
13,tickets,tickets,70,1
14,tickets,tickets,62,-1
15,tickets,tickets,59,80
16,tickets,tickets,53,-100
17,tickets,tickets,82,82
18,tickets,tickets,78,41
19,tickets,tickets,21,18
20,tickets,tickets,50,45
21,tickets,tickets,69,32
22,tickets,tickets,31,93
23,tickets,tickets,-16,10
24,tickets,tickets,71,54
25,tickets,tickets,58,52
26,tickets,tickets,31,27
27,tickets,tickets,64,70
28,tickets,tickets,90,69
0,tickets,tickets,53,67
1,tickets,tickets,67,17
2,tickets,tickets,61,66
3,tickets,tickets,62,-14
4,tickets,tickets,-52,-29
5,tickets,tickets,61,58
0,tickets,tickets,39,-88
1,tickets,tickets,31,-49
2,tickets,tickets,90,60
3,tickets,tickets,31,-180
4,tickets,tickets,48,41
5,tickets,tickets,27,80
6,tickets,tickets,50,-2
7,tickets,tickets,64,-203
8,tickets,tickets,9,21
0,tickets,tickets,89,65
1,tickets,tickets,56,38
2,tickets,tickets,59,47
3,tickets,tickets,47,63
4,tickets,tickets,31,-79
5,tickets,tickets,27,44
6,tickets,tickets,62,-20
7,tickets,tickets,54,51
8,tickets,tickets,36,69
9,tickets,tickets,25,10
10,tickets,tickets,98,74
11,tickets,tickets,41,-8
12,tickets,tickets,55,27
13,tickets,tickets,39,58
14,tickets,tickets,53,65
15,tickets,tickets,-29,19
16,tickets,tickets,29,7
17,tickets,tickets,41,58
18,tickets,tickets,8,31
19,tickets,tickets,39,-6
20,tickets,tickets,22,40
21,tickets,tickets,31,57
22,tickets,tickets,83,44
23,tickets,tickets,37,55
24,tickets,tickets,63,43
25,tickets,tickets,27,4
26,tickets,tickets,65,62
27,tickets,tickets,42,-26
28,tickets,tickets,30,-89
0,tickets,tickets,87,73
1,tickets,tickets,57,58
2,tickets,tickets,32,63
3,tickets,tickets,49,44
4,tickets,tickets,57,60
5,tickets,tickets,53,28
6,tickets,tickets,55,62
7,tickets,tickets,62,58
8,tickets,tickets,51,54
9,tickets,tickets,20,65
10,tickets,tickets,38,72
11,tickets,tickets,17,-150
12,tickets,tickets,48,42
13,tickets,tickets,60,10
14,tickets,tickets,-3,-14
15,tickets,tickets,70,40
16,tickets,tickets,47,105
17,tickets,tickets,59,54
18,tickets,tickets,60,45
19,tickets,tickets,44,54
20,tickets,tickets,65,39
21,tickets,tickets,52,69
22,tickets,tickets,63,61
23,tickets,tickets,66,63
24,tickets,tickets,23,51
25,tickets,tickets,76,52
26,tickets,tickets,90,53
0,tickets,tickets,56,32
1,tickets,tickets,52,-44
2,tickets,tickets,72,29
3,tickets,tickets,-56,15
4,tickets,tickets,28,57
5,tickets,tickets,61,31
6,tickets,tickets,33,59
7,tickets,tickets,75,26
0,tickets,tickets,59,29
1,tickets,tickets,47,63
2,tickets,tickets,60,67
3,tickets,tickets,54,59
4,tickets,tickets,36,72
5,tickets,tickets,90,47
6,tickets,tickets,56,18
7,tickets,tickets,65,2
0,tickets,tickets,74,6
1,tickets,tickets,51,-44
2,tickets,tickets,55,26
3,tickets,tickets,69,6
4,tickets,tickets,-2,12
5,tickets,tickets,11,75
6,tickets,tickets,67,61
7,tickets,tickets,63,80
8,tickets,tickets,-6,29
9,tickets,tickets,29,74
10,tickets,tickets,48,29
11,tickets,tickets,21,75
12,tickets,tickets,61,-71
13,tickets,tickets,53,31
14,tickets,tickets,55,26
15,tickets,tickets,37,50
0,tickets,tickets,55,50
1,tickets,tickets,-28,56
2,tickets,tickets,-36,25
3,tickets,tickets,-110,29
4,tickets,tickets,14,20
5,tickets,tickets,66,-120
6,tickets,tickets,38,-27
7,tickets,tickets,58,-6
0,tickets,tickets,75,-198
1,tickets,tickets,20,-19
2,tickets,tickets,70,23
3,tickets,tickets,39,90
4,tickets,tickets,57,70
5,tickets,tickets,10,53
6,tickets,tickets,26,48
7,tickets,tickets,87,50
8,tickets,tickets,90,-231
9,tickets,tickets,58,-52
10,tickets,tickets,50,44
0,tickets,tickets,-127,54
1,tickets,tickets,4,63
2,tickets,tickets,29,-65
3,tickets,tickets,48,40
4,tickets,tickets,60,57
5,tickets,tickets,58,51
6,tickets,tickets,65,29
7,tickets,tickets,45,36
8,tickets,tickets,69,26
9,tickets,tickets,58,25
10,tickets,tickets,74,46
11,tickets,tickets,44,78
12,tickets,tickets,58,61
13,tickets,tickets,-32,60
14,tickets,tickets,18,75
15,tickets,tickets,28,38
16,tickets,tickets,84,58
17,tickets,tickets,20,56
18,tickets,tickets,66,-57
19,tickets,tickets,73,58
20,tickets,tickets,16,-151
21,tickets,tickets,-67,79
22,tickets,tickets,58,-187
23,tickets,tickets,19,41
24,tickets,tickets,69,94
25,tickets,tickets,82,78
26,tickets,tickets,66,-28
27,tickets,tickets,2,47
28,tickets,tickets,41,51
29,tickets,tickets,86,33
30,tickets,tickets,74,33
31,tickets,tickets,98,66
32,tickets,tickets,55,-105
33,tickets,tickets,22,55
34,tickets,tickets,90,44
35,tickets,tickets,45,54
36,tickets,tickets,78,36
0,tickets,tickets,21,20
1,tickets,tickets,88,90
2,tickets,tickets,26,43
3,tickets,tickets,81,71
4,tickets,tickets,62,51
5,tickets,tickets,43,96
6,tickets,tickets,46,-80
7,tickets,tickets,45,93
8,tickets,tickets,40,90
9,tickets,tickets,29,30
10,tickets,tickets,73,-92
11,tickets,tickets,42,95
12,tickets,tickets,33,13
13,tickets,tickets,46,79
14,tickets,tickets,28,58
0,tickets,tickets,17,54
1,tickets,tickets,33,38
2,tickets,tickets,48,63
3,tickets,tickets,38,-143
4,tickets,tickets,68,-165
5,tickets,tickets,55,2
6,tickets,tickets,24,-10
7,tickets,tickets,45,25
8,tickets,tickets,75,18
9,tickets,tickets,21,-76
10,tickets,tickets,53,72
11,tickets,tickets,45,49
12,tickets,tickets,76,68
13,tickets,tickets,14,68
14,tickets,tickets,84,43
15,tickets,tickets,21,58
0,tickets,tickets,90,46
1,tickets,tickets,84,38
2,tickets,tickets,-66,-72
3,tickets,tickets,29,-218
4,tickets,tickets,79,54
5,tickets,tickets,84,-41
6,tickets,tickets,71,23
7,tickets,tickets,33,39
8,tickets,tickets,69,46
9,tickets,tickets,13,36
10,tickets,tickets,57,31
11,tickets,tickets,-1,-43
12,tickets,tickets,32,41
13,tickets,tickets,0,-45
14,tickets,tickets,28,89
15,tickets,tickets,53,75
16,tickets,tickets,54,51
17,tickets,tickets,38,38
18,tickets,tickets,48,71
19,tickets,tickets,49,10
20,tickets,tickets,59,72
21,tickets,tickets,69,-143
22,tickets,tickets,32,37
23,tickets,tickets,28,8
24,tickets,tickets,89,39
25,tickets,tickets,39,86
26,tickets,tickets,62,56
27,tickets,tickets,38,67
28,tickets,tickets,43,-13
29,tickets,tickets,91,31
30,tickets,tickets,37,43
31,tickets,tickets,61,37
32,tickets,tickets,60,73
33,tickets,tickets,-147,55
