Houston,El Paso-Miami,Atlanta-Miami,New Orleans-El Paso,Los Angeles-Winnipeg,Calgary-Winnipeg,Sault St Marie-San Francisco,Portland-
Toronto,Duluth-Omaha,Helena-Pittsburgh,Saint Louis-Helena,Duluth-Helena,Seattle-Salt Lake City,Portland-Sault St Marie,Montreal-San Francisco,Portland-
Houston,El Paso-Helena,Duluth-Miami,Atlanta-El Paso,Oklahoma City-El Paso,Los Angeles-Winnipeg,Calgary-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-
Toronto,Duluth-Omaha,Helena-Miami,New Orleans-Helena,Seattle-Salt Lake City,San Francisco-Salt Lake City,Portland-Sault St Marie,Montreal-
Houston,El Paso-Helena,Seattle-Miami,New Orleans-El Paso,Los Angeles-Salt Lake City,San Francisco-Salt Lake City,Portland-San Francisco,Portland-
Toronto,Duluth-Miami,Atlanta-Helena,Duluth-Winnipeg,Calgary-Winnipeg,Sault St Marie-Montreal,Sault St Marie-San Francisco,Portland-
Toronto,Duluth-Miami,Atlanta-Helena,Duluth-Helena,Seattle-Winnipeg,Calgary-Winnipeg,Sault St Marie-San Francisco,Portland-
Houston,El Paso-Miami,New Orleans-El Paso,Los Angeles-Salt Lake City,San Francisco-Salt Lake City,Portland-Sault St Marie,Montreal-San Francisco,Portland-
Houston,El Paso-Omaha,Helena-Helena,Seattle-El Paso,Los Angeles-Winnipeg,Calgary-Salt Lake City,San Francisco-Salt Lake City,Portland-San Francisco,Portland-
Toronto,Duluth-El Paso,Oklahoma City-Miami,Atlanta-Miami,New Orleans-Helena,Duluth-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Montreal,Sault St Marie-
Houston,El Paso-Helena,Duluth-Miami,Atlanta-Miami,New Orleans-El Paso,Los Angeles-Winnipeg,Calgary-Sault St Marie,Montreal-San Francisco,Portland-
Toronto,Duluth-Omaha,Helena-Helena,Seattle-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Salt Lake City,Portland-San Francisco,Portland-
Houston,El Paso-Seattle,Helena-Helena,Duluth-Miami,New Orleans-Winnipeg,Calgary-Salt Lake City,Portland-Sault St Marie,Montreal-
Toronto,Duluth-Omaha,Helena-Miami,Atlanta-El Paso,Los Angeles-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-San Francisco,Portland-
Houston,El Paso-Helena,Seattle-Winnipeg,Calgary-Winnipeg,Sault St Marie-Salt Lake City,Portland-Montreal,Sault St Marie-San Francisco,Portland-
