p1:Toronto,Duluth-Houston,El Paso-Miami,Atlanta-Pittsburgh,Saint Louis-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Montreal,Sault St Marie-
p2:New Orleans,Miami-Helena,Duluth-Helena,Seattle-El Paso,Los Angeles-Winnipeg,Calgary-Salt Lake City,Portland-San Francisco,Portland-
p1:Toronto,Duluth-Houston,El Paso-Miami,Atlanta-Miami,New Orleans-Helena,Duluth-Helena,Seattle-Salt Lake City,San Francisco-Sault St Marie,Montreal-
p2:El Paso,Oklahoma City-El Paso,Los Angeles-Winnipeg,Calgary-Winnipeg,Sault St Marie-Salt Lake City,Portland-San Francisco,Portland-
p1:Houston,El Paso-Helena,Seattle-Miami,New Orleans-El Paso,Los Angeles-Salt Lake City,Portland-San Francisco,Portland-
p2:Toronto,Duluth-El Paso,Oklahoma City-Atlanta,Miami-Helena,Duluth-Winnipeg,Calgary-Winnipeg,Sault St Marie-Montreal,Sault St Marie-San Francisco,Portland-
p1:Houston,El Paso-El Paso,Los Angeles-Miami,Atlanta-Helena,Duluth-Helena,Seattle-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-San Francisco,Portland-
p2:Toronto,Duluth-Miami,New Orleans-Winnipeg,Calgary-Salt Lake City,San Francisco-Salt Lake City,Portland-Sault St Marie,Montreal-San Francisco,Portland-
p1:Toronto,Duluth-Houston,El Paso-Helena,Duluth-Miami,Atlanta-Miami,New Orleans-El Paso,Oklahoma City-El Paso,Los Angeles-Salt Lake City,San Francisco-
p2:Helena,Seattle-Winnipeg,Calgary-Winnipeg,Sault St Marie-Salt Lake City,Portland-Montreal,Sault St Marie-San Francisco,Portland-
p1:Toronto,Duluth-Helena,Seattle-Miami,Atlanta-Miami,New Orleans-El Paso,Los Angeles-Salt Lake City,San Francisco-Calgary,Winnipeg-San Francisco,Portland-
p2:Houston,El Paso-El Paso,Oklahoma City-Helena,Duluth-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Salt Lake City,Portland-Montreal,Sault St Marie-
p1:New Orleans,Miami-Miami,Atlanta-Helena,Duluth-Helena,Seattle-Winnipeg,Calgary-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Montreal,Sault St Marie-
p2:Toronto,Duluth-Houston,El Paso-Omaha,Helena-El Paso,Oklahoma City-El Paso,Los Angeles-Salt Lake City,San Francisco-Salt Lake City,Portland-San Francisco,Portland-
p1:Toronto,Duluth-Houston,El Paso-Miami,New Orleans-El Paso,Oklahoma City-El Paso,Los Angeles-Winnipeg,Calgary-Salt Lake City,San Francisco-
p2:Miami,Atlanta-Helena,Duluth-Helena,Seattle-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-Salt Lake City,Portland-San Francisco,Portland-
p1:Toronto,Duluth-Houston,El Paso-Omaha,Helena-Helena,Seattle-Winnipeg,Calgary-Salt Lake City,San Francisco-Salt Lake City,Portland-Sault St Marie,Montreal-
p2:Atlanta,Miami-El Paso,Oklahoma City-El Paso,Los Angeles-Miami,New Orleans-Helena,Duluth-Winnipeg,Sault St Marie-Salt Lake City,San Francisco-San Francisco,Portland-
p1:Houston,El Paso-Miami,Atlanta-Miami,New Orleans-Portland,San Francisco-El Paso,Oklahoma City-El Paso,Los Angeles-Winnipeg,Calgary-
